Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
8762.09,16,0,16,140,2026,2,7,17,19,24
8822.09,16,0,16,141,2026,2,7,17,20,24
8882.09,16,0,16,140,2026,2,7,17,21,24
8942.09,16,0,16,140,2026,2,7,17,22,24
9002.09,16,0,16,141,2026,2,7,17,23,24
9062.91,16,0,16,141,2026,2,7,17,24,25
9122.09,16,0,16,141,2026,2,7,17,25,24
9182.09,16,0,16,140,2026,2,7,17,26,24
9242.09,16,0,16,141,2026,2,7,17,27,24
9302.09,16,0,16,141,2026,2,7,17,28,24
9362.09,16,0,16,140,2026,2,7,17,29,24
9422.09,16,0,16,141,2026,2,7,17,30,24
9482.09,16,0,16,141,2026,2,7,17,31,24
9542.09,16,0,16,141,2026,2,7,17,32,24
9602.09,16,0,16,141,2026,2,7,17,33,24
9662.09,16,0,16,141,2026,2,7,17,34,24
9722.09,16,0,16,141,2026,2,7,17,35,24
9782.09,16,0,16,140,2026,2,7,17,36,24
9842.09,16,0,16,141,2026,2,7,17,37,24
9902.09,16,0,16,141,2026,2,7,17,38,24
9962.09,16,0,16,142,2026,2,7,17,39,24
10022.09,16,0,16,142,2026,2,7,17,40,24
10082.09,16,0,16,142,2026,2,7,17,41,24
10142.09,16,0,16,141,2026,2,7,17,42,24
10202.09,16,0,16,142,2026,2,7,17,43,24
10262.09,16,0,16,142,2026,2,7,17,44,24
10322.09,16,0,16,143,2026,2,7,17,45,24
10382.09,16,0,16,142,2026,2,7,17,46,24
10442.09,16,0,16,142,2026,2,7,17,47,24
10502.09,16,0,16,142,2026,2,7,17,48,24
10562.09,16,0,16,142,2026,2,7,17,49,24
10622.09,16,0,16,142,2026,2,7,17,50,24
10682.09,16,0,16,143,2026,2,7,17,51,24
10742.09,16,0,16,143,2026,2,7,17,52,24
10802.09,16,0,16,143,2026,2,7,17,53,24
10862.09,16,0,16,143,2026,2,7,17,54,24
10922.09,16,0,16,143,2026,2,7,17,55,24
10982.09,16,0,16,143,2026,2,7,17,56,24
11042.09,16,0,16,143,2026,2,7,17,57,24
11102.09,16,0,16,143,2026,2,7,17,58,24
11162.09,16,0,16,143,2026,2,7,17,59,24
11222.09,16,0,16,143,2026,2,7,18,0,24
11282.09,16,0,16,143,2026,2,7,18,1,24
11342.09,16,0,16,143,2026,2,7,18,2,24
11402.09,16,0,16,143,2026,2,7,18,3,24
11462.09,16,0,16,144,2026,2,7,18,4,24
11522.09,16,0,16,144,2026,2,7,18,5,24
11582.09,15,0,16,144,2026,2,7,18,6,24
11642.09,15,0,16,143,2026,2,7,18,7,24
11702.09,16,0,16,144,2026,2,7,18,8,24
11762.09,15,0,16,145,2026,2,7,18,9,24
11822.09,15,0,16,144,2026,2,7,18,10,24
11882.09,15,0,16,144,2026,2,7,18,11,24
11942.09,15,0,16,145,2026,2,7,18,12,24
12002.09,15,0,16,145,2026,2,7,18,13,24
12062.09,16,0,16,98,2026,2,7,18,14,24
12122.09,16,0,16,100,2026,2,7,18,15,24
12182.09,15,0,16,143,2026,2,7,18,16,24
12242.09,15,0,16,143,2026,2,7,18,17,24
12302.91,15,0,16,144,2026,2,7,18,18,25
12362.09,15,0,16,145,2026,2,7,18,19,24
12422.09,15,0,16,145,2026,2,7,18,20,24
12482.09,15,0,16,145,2026,2,7,18,21,24
12542.09,15,0,16,145,2026,2,7,18,22,24
12602.09,15,0,16,145,2026,2,7,18,23,24
12662.09,15,0,16,144,2026,2,7,18,24,24
12722.09,15,0,16,145,2026,2,7,18,25,24
12782.09,15,0,16,145,2026,2,7,18,26,24
12842.09,15,0,16,145,2026,2,7,18,27,24
12902.09,15,0,16,145,2026,2,7,18,28,24
12962.09,15,0,16,145,2026,2,7,18,29,24
13022.09,15,0,16,144,2026,2,7,18,30,24
13082.09,15,0,16,145,2026,2,7,18,31,24
13142.09,15,0,16,145,2026,2,7,18,32,24
13202.09,15,0,16,146,2026,2,7,18,33,24
13262.09,15,0,16,145,2026,2,7,18,34,24
